Channel_SKU,Master_SKU,SKU_Name,Channel
8806182509728,30100105,"The Face Shop Jeju Aloe Fresh Soothing Gel With , Non Sticky Aloe Gel For Body, Face & Hair (300ML)",Nykaa
8806182519307,30100351,The Face Shop Rice Water Bright Light Cleansing Oil(150ml),Nykaa
8806182519314,30100352,"The Face Shop Rice Water Bright Rich Cleansing Oil, Makeup Remover On Heavy Makeup & Impurities",Nykaa
8806182519369,30100001,The Face Shop Rice Water Bright Lip & Eye Makeup Remover(120ml),Nykaa
8806182525292,30100072,The Face Shop Smile Foot Peeling Mask(40ml),Nykaa
8806182528057,30100244,The Face Shop Jeju Volcanic Lava Aloe Nose Strip - 1Pcs(1Strip),Nykaa
8806182528071,30100246,"The Face Shop Jeju Volcanic Lava Aloe Nose Strip, Nose Patches To Remove Blackheads & Whiteheads",Nykaa
8806182528835,30100107,"The Face Shop Jeju Aloe Fresh Soothing Gel Tube, Pure Non Sticky Aloe Gel For Body, Face & Hair (300 ml)",Nykaa
8806182529269,30100035,"The Face Shop White Seed Serum With Niacinamide &Hyaluronic Acid, Fights Dullness & Blemishes(50 ml)",Nykaa
8806182529399,30100410,"The Face Shop Pomegranate And Collagen Toner, Toner With Collagen & & Hyaluronic Acid(160ml)",Nykaa
8806182529405,30100411,"The Face Shop Pomegranate And Collagen Emulsion, With Collagen & Hyaluronic Acid (140ML)",Nykaa
8806182529412,30100412,"The Face Shop Pomegranate And Collagen Serum, Collagen & Hyaluronic Acid, For Skin Firming (80ml)",Nykaa
8806182529429,30100413,"The Face Shop Pomegranate And Collagen Cream, Day & Night Cream To Boost Collagen & Brighten Skin (100 ml)",Nykaa
8806182529436,30100414,"The Face Shop Pomegranate And Collagen Eye Cream With 10% Collagen, For Under Eye Dark Circles 50ml",Nykaa
8806182531323,30100118,The Face Shop Bio-Cell Moisturizing Face Mask(25g),Nykaa
8806182531392,30100005,The Face Shop The Solution Hydrating Face Mask(20g),Nykaa
8806182531408,30100006,The Face Shop The Solution Moisturizing Face Mask(20g),Nykaa
8806182531415,30100007,The Face Shop The Solution Brightening Face Mask(20g),Nykaa
8806182531439,30100008,The Face Shop The Solution Firming Face Mask(20g),Nykaa
8806182531453,30100009,The Face Shop The Solution Nourishing Face Mask(20g),Nykaa
8806182531477,30100011,The Face Shop The Solution Pore Care Face Mask(20g),Nykaa
8806182535451,30100416,"The Face Shop Rice & Ceramide Moisturizing Toner, Face Toner To Moisturize & Brighten Skin (150ML)",Nykaa
