date,sku_id,sales_value,sales_units,store_id
2024-12-01,30100459,2599,1,N20
2024-12-01,30100459,2599,1,T31
2024-12-01,30100459,2599,1,O51
2024-12-01,30100459,2599,1,O63
2024-12-01,30100459,5198,2,O33
2024-12-01,30100459,2599,1,T04
2024-12-01,30100457,1790,1,N11
2024-12-01,30100457,1790,1,T04
2024-12-01,30100456,1690,1,T02
2024-12-01,30100456,1690,1,O33
2024-12-01,30100543,500,1,U13
2024-12-01,30100543,500,1,O83
2024-12-01,30100105,980,2,L64
2024-12-01,30100105,490,1,O33
2024-12-01,30100251,1240,1,N11
2024-12-01,30100473,549,1,T06
2024-12-01,30100470,549,1,T02
2024-12-01,30100413,2350,1,L56
2024-12-01,30100413,2350,1,L33
2024-12-01,30100413,4700,2,L78
2024-12-01,30100413,2350,1,L97
2024-12-01,30100413,2350,1,U04
2024-12-01,30100413,2350,1,O42
2024-12-01,30100413,4700,2,O72
2024-12-01,30100413,2350,1,T12
2024-12-01,30100413,2249,1,T07
2024-12-01,30100413,4700,2,O76
2024-12-01,30100413,2350,1,O38
2024-12-01,30100413,4498,2,T31
2024-12-01,30100413,2350,1,T16
2024-12-01,30100413,2350,1,O91
2024-12-01,30100413,2350,1,O35
2024-12-01,30100413,2350,1,O61
2024-12-01,30100413,2350,1,O51
2024-12-01,30100413,2350,1,O86
2024-12-01,30100413,2350,1,O99
2024-12-01,30100413,2350,1,O40
2024-12-01,30100413,2350,1,O88
2024-12-01,30100413,2350,1,N11
2024-12-01,30100413,2350,1,O94
2024-12-01,30100413,2350,1,O57
2024-12-01,30100413,4700,2,O33
2024-12-01,30100413,2350,1,T04
2024-12-01,30100413,2350,1,O44
2024-12-01,30100413,2350,1,O92
2024-12-01,30100587,1249,1,L29
2024-12-01,30100587,1249,1,O32
2024-12-01,30100587,1249,1,O63
2024-12-01,30100411,1950,1,L55
2024-12-01,30100411,1950,1,L89
2024-12-01,30100411,5550,3,T31
2024-12-01,30100411,1950,1,N17
2024-12-01,30100414,2190,1,L37
2024-12-01,30100591,990,1,L37
2024-12-01,30100591,990,1,L52
2024-12-01,30100412,2250,1,L56
2024-12-01,30100412,2250,1,L99
2024-12-01,30100412,2250,1,L88
2024-12-01,30100412,4500,2,O72
2024-12-01,30100412,2250,1,T01
2024-12-01,30100412,2250,1,O76
2024-12-01,30100412,2250,1,O38
2024-12-01,30100412,2250,1,O56
2024-12-01,30100412,6750,3,T31
2024-12-01,30100412,2250,1,O52
2024-12-01,30100412,4500,2,O46
2024-12-01,30100412,2250,1,T04
2024-12-01,30100412,2250,1,O64
2024-12-01,30100412,2250,1,O25
2024-12-01,30100410,1960,1,L48
2024-12-01,30100410,1960,1,O76
2024-12-01,30100410,1960,1,N17
2024-12-01,30100410,3920,2,O46
2024-12-01,30100410,1960,1,O25
2024-12-01,30100572,2100,1,O45
2024-12-01,30100435,1040,1,L80
2024-12-01,30100435,1040,1,N20
2024-12-01,30100435,1040,1,L42
2024-12-01,30100435,1040,1,N12
2024-12-01,30100435,1040,1,L89
2024-12-01,30100435,1040,1,U15
2024-12-01,30100435,3120,3,O32
2024-12-01,30100435,2080,2,NS4
2024-12-01,30100435,2080,2,T03
2024-12-01,30100435,990,1,O76
2024-12-01,30100435,1040,1,O38
2024-12-01,30100435,1040,1,O96
2024-12-01,30100435,1040,1,O56
2024-12-01,30100435,1040,1,O52
2024-12-01,30100435,1040,1,NS2
2024-12-01,30100435,1040,1,T23
