current_stock,sku_id,store_id
1,30100105,L52
1,30100105,L78
1,30100105,L82
1,30100105,L89
2,30100105,O67
1,30100105,O70
1,30100105,O77
1,30100105,O78
1,30100105,O86
1,30100105,T03
1,30100105,T12
1,30100105,T16
1,30100105,T22
2,30100105,T27
2,30100105,O80
1,30100105,O80
1,30100105,U05
9,30100351,FBT
1,30100351,FBT
2,30100351,FDT
3,30100351,FMT
5,30100351,FMT
1,30100351,L27
1,30100351,L27
1,30100351,L28
1,30100351,L28
7,30100351,L33
5,30100351,L33
3,30100351,L36
1,30100351,L36
1,30100351,L37
1,30100351,L38
1,30100351,L38
1,30100351,L39
1,30100351,L40
1,30100351,L40
2,30100351,L40
1,30100351,L40
1,30100351,L42
1,30100351,L42
2,30100351,L42
1,30100351,L47
1,30100351,L48
1,30100351,L50
2,30100351,L50
1,30100351,L52
2,30100351,L53
1,30100351,L53
1,30100351,L54
1,30100351,L54
1,30100351,L55
1,30100351,L55
1,30100351,L56
2,30100351,L56
2,30100351,L56
1,30100351,L56
1,30100351,L57
1,30100351,L59
1,30100351,L59
1,30100351,L61
1,30100351,L61
1,30100351,L63
1,30100351,L63
1,30100351,L64
5,30100351,L65
3,30100351,L67
1,30100351,L73
1,30100351,L76
1,30100351,L76
1,30100351,L76
3,30100351,L78
1,30100351,L78
2,30100351,L78
1,30100351,L78
1,30100351,L79
1,30100351,L80
1,30100351,L80
1,30100351,L81
1,30100351,L82
1,30100351,L85
3,30100351,L85
1,30100351,L87
1,30100351,L87
1,30100351,L88
2,30100351,L89
1,30100351,L94
4,30100351,L94
1,30100351,L94
1,30100351,L95
4,30100351,L95
1,30100351,L97
1,30100351,L97
1,30100351,L99
1,30100351,L99
3,30100351,L99
2,30100351,N11
1,30100351,N11
2,30100351,N11
1,30100351,N11
2,30100351,N12
1,30100351,N17
4,30100351,N17
2,30100351,N20
1,30100351,N20
5,30100351,N20
2,30100351,N20
1,30100351,N22
1,30100351,N23
1,30100351,N23
1,30100351,NS2
1,30100351,NS7
1,30100351,NS7
1,30100351,O25
2,30100351,O25
1,30100351,O33
3,30100351,O33
1,30100351,O33
1,30100351,O34
1,30100351,O35
1,30100351,O38
2,30100351,O38
2,30100351,O38
1,30100351,O38
1,30100351,O39
1,30100351,O39
1,30100351,O39
1,30100351,O39
2,30100351,O40
1,30100351,O40
2,30100351,O41
1,30100351,O41
2,30100351,O42
1,30100351,O43
1,30100351,O43
1,30100351,O44
1,30100351,O45
1,30100351,O45
3,30100351,O45
1,30100351,O46
1,30100351,O47
1,30100351,O47
2,30100351,O48
1,30100351,O48
2,30100351,O49
1,30100351,O49
2,30100351,O50
3,30100351,O51
1,30100351,O51
1,30100351,O51
22,30100351,O52
2,30100351,O52
15,30100351,O53
3,30100351,O53
1,30100351,O54
3,30100351,O54
1,30100351,O56
1,30100351,O56
1,30100351,O56
2,30100351,O57
1,30100351,O60
1,30100351,O60
1,30100351,O60
1,30100351,O60
1,30100351,O61
1,30100351,O62
2,30100351,O62
